stop,Zone,In_City
49th Street,1,1
9th Street Lansdale,4,0
Airport,4,0
Airport Terminal A,4,0
Airport Terminal B,4,0
Airport Terminal C D,4,0
Airport Terminal E F,4,0
Allegheny,1,1
Ambler,3,0
Angora,1,1
Ardmore,2,0
Ardsley,3,0
Bala,2,0
Berwyn,3,0
Bethayres,3,0
Bridesburg,2,1
Bristol,4,0
Bryn Mawr,3,0
Carpenter,2,1
Chalfont,4,0
Chelten Avenue,1,1
Cheltenham,2,0
Chester,3,0
Chestnut Hill East,2,1
Chestnut Hill West,2,1
Churchman's Crossing,4,0
Claymont,4,0
Clifton-Aldan,2,0
Colmar,4,0
Conshohocken,3,0
Cornwells Heights,3,0
Crestmont,3,0
Croydon,3,0
Crum Lynne,3,0
Curtis Park,2,0
Cynwyd,2,0
Darby,2,0
Daylesford,3,0
Delaware Valley College,4,0
Devon,3,0
Downingtown,4,0
Doylestown,4,0
East Falls,1,1
Eastwick,1,1
Eddington,3,0
Eddystone,3,0
Elkins Park,2,0
Elwyn,3,0
Exton,4,0
Fern Rock T C,1,1
Fernwood-Yeadon,2,0
Folcroft,2,0
Forest Hills,3,0
Fort Washington,3,0
Fortuna,4,0
Fox Chase,2,1
Germantown,1,1
Gladstone,2,0
Glenolden,2,0
Glenside,3,0
Gravers,2,1
Gray 30th Street,0,1
Gwynedd Valley,3,0
Hatboro,3,0
Haverford,2,0
Highland,3,0
Highland Avenue,2,1
Holmesburg Jct,2,1
Ivy Ridge,2,1
Jefferson Station,0,1
Jenkintown Wyncote,3,0
Langhorne,4,0
Lansdale,4,0
Lansdowne,2,0
Lawndale,2,0
Levittown,4,0
Link Belt,4,0
Main Street,3,0
Malvern,4,0
Manayunk,2,1
Marcus Hook,3,0
Meadowbrook,3,0
Media,3,0
Melrose Park,2,0
Merion,2,0
Miquon,2,0
Morton,2,0
Mount Airy,2,1
Moylan-Rose Valley,3,0
Narberth,2,0
Neshaminy,3,0
New Britain,4,0
Newark,4,0
Noble,3,0
Norristown - Elm Street,3,0
Norristown T.C.,3,0
North Broad,1,1
North Hills,3,0
North Philadelphia,1,1
North Philadelphia Amtrak,1,1
North Wales,4,0
Norwood,2,0
Olney,1,1
Oreland,3,0
Overbrook,2,1
Paoli,4,0
Penllyn,3,0
Penn Medicine Station,0,1
Pennbrook,4,0
Philmont,3,0
Primos,2,0
Prospect Park - Moore,2,0
Queen Lane,1,1
Radnor,3,0
Richard Allen Lane,2,1
Ridley Park,3,0
Rosemont,3,0
Roslyn,3,0
Rydal,3,0
Ryers,2,0
Secane,2,0
Sedgwick,2,1
Sharon Hill,2,0
Somerton,3,0
Spring Mill,3,0
St. Davids,3,0
St. Martins,2,1
Stenton,2,1
Strafford,3,0
Suburban Station,0,1
Swarthmore,3,0
Tacony,2,1
Temple University,0,1
Thorndale,4,0
Torresdale,3,1
Trenton,5,0
Trevose,3,0
Tulpehocken,2,1
Upsal,2,1
Villanova,3,0
Wallingford,3,0
Warminster,3,0
Washington Lane,2,1
Wawa,3,0
Wayne,3,0
Wayne Junction,1,1
West Trenton,5,0
Whitford,4,0
Willow Grove,3,0
Wilmington,4,0
Wissahickon,2,1
Wister,1,1
Woodbourne,4,0
Wyndmoor,2,1
Wynnefield Avenue,1,1
Wynnewood,2,0
Yardley,4,0
