Train Number,stop,late_mins,line,outbound_ind,routes_per_line,stops_on_route,amtrak_ind,late_ind,late_septa_ind,time,rush_hour
401,Suburban Station,1.2,airport,1,38,10,0,1,0,04:25:00,0
403,Suburban Station,0,airport,1,38,10,0,0,0,04:55:00,0
405,Suburban Station,0,airport,1,38,10,0,0,0,05:25:00,0
402,Suburban Station,0.8,airport,1,38,10,0,0,0,05:35:00,0
407,Suburban Station,1.2,airport,1,38,10,0,1,0,05:55:00,0
409,Suburban Station,2.7,airport,1,38,10,0,1,0,06:25:00,0
8411,Suburban Station,1.5,airport,1,38,10,0,1,0,06:55:00,0
413,Suburban Station,3.1,airport,1,38,10,0,1,0,07:25:00,1
8415,Suburban Station,2.8,airport,1,38,10,0,1,0,07:55:00,1
417,Suburban Station,1.4,airport,1,38,10,0,1,0,08:25:00,1
8419,Suburban Station,3.3,airport,1,38,10,0,1,0,08:55:00,1
421,Suburban Station,1.1,airport,1,38,10,0,1,0,09:25:00,0
8423,Suburban Station,4,airport,1,38,10,0,1,0,09:55:00,0
425,Suburban Station,0.1,airport,1,38,10,0,0,0,10:25:00,0
8427,Suburban Station,0.8,airport,1,38,10,0,0,0,10:55:00,0
429,Suburban Station,1.2,airport,1,38,10,0,1,0,11:25:00,0
8431,Suburban Station,3.6,airport,1,38,10,0,1,0,11:55:00,0
433,Suburban Station,1.6,airport,1,38,10,0,1,0,12:25:00,0
8435,Suburban Station,0.4,airport,1,38,10,0,0,0,12:55:00,0
437,Suburban Station,1,airport,1,38,10,0,1,0,13:25:00,0
8439,Suburban Station,1.5,airport,1,38,10,0,1,0,13:55:00,0
441,Suburban Station,0.5,airport,1,38,10,0,0,0,14:25:00,0
8443,Suburban Station,0.5,airport,1,38,10,0,0,0,14:55:00,0
445,Suburban Station,1.2,airport,1,38,10,0,1,0,15:25:00,2
8447,Suburban Station,0.5,airport,1,38,10,0,0,0,15:55:00,2
449,Suburban Station,0.7,airport,1,38,10,0,0,0,16:25:00,2
8451,Suburban Station,1.1,airport,1,38,10,0,1,0,16:55:00,2
453,Suburban Station,0.9,airport,1,38,10,0,0,0,17:25:00,2
8455,Suburban Station,6.1,airport,1,38,10,0,1,1,17:55:00,2
457,Suburban Station,0.4,airport,1,38,10,0,0,0,18:25:00,0
8459,Suburban Station,0.5,airport,1,38,10,0,0,0,18:55:00,0
461,Suburban Station,0.5,airport,1,38,10,0,0,0,19:25:00,0
8463,Suburban Station,2.5,airport,1,38,10,0,1,0,19:55:00,0
465,Suburban Station,0,airport,1,38,10,0,0,0,20:25:00,0
8467,Suburban Station,0.6,airport,1,38,10,0,0,0,20:55:00,0
469,Suburban Station,2.8,airport,1,38,10,0,1,0,21:25:00,0
8471,Suburban Station,1.1,airport,1,38,10,0,1,0,21:55:00,0
473,Suburban Station,0.2,airport,1,38,10,0,0,0,22:25:00,0
401,Gray 30th Street,0.5,airport,1,38,10,1,0,0,04:29:00,0
403,Gray 30th Street,0.1,airport,1,38,10,1,0,0,04:59:00,0
405,Gray 30th Street,0.1,airport,1,38,10,1,0,0,05:29:00,0
402,Gray 30th Street,0.5,airport,1,38,10,1,0,0,05:30:00,0
407,Gray 30th Street,0.7,airport,1,38,10,1,0,0,05:59:00,0
409,Gray 30th Street,2.1,airport,1,38,10,1,1,0,06:29:00,0
8411,Gray 30th Street,0.5,airport,1,38,10,1,0,0,06:59:00,0
413,Gray 30th Street,2.3,airport,1,38,10,1,1,0,07:29:00,1
8415,Gray 30th Street,1.7,airport,1,38,10,1,1,0,07:59:00,1
417,Gray 30th Street,1.1,airport,1,38,10,1,1,0,08:29:00,1
8419,Gray 30th Street,2.4,airport,1,38,10,1,1,0,08:59:00,1
421,Gray 30th Street,1.1,airport,1,38,10,1,1,0,09:29:00,0
8423,Gray 30th Street,3.1,airport,1,38,10,1,1,0,09:59:00,0
425,Gray 30th Street,0.3,airport,1,38,10,1,0,0,10:29:00,0
8427,Gray 30th Street,0.9,airport,1,38,10,1,0,0,10:59:00,0
429,Gray 30th Street,1.5,airport,1,38,10,1,1,0,11:29:00,0
8431,Gray 30th Street,3.1,airport,1,38,10,1,1,0,11:59:00,0
433,Gray 30th Street,1.6,airport,1,38,10,1,1,0,12:29:00,0
8435,Gray 30th Street,0.5,airport,1,38,10,1,0,0,12:59:00,0
437,Gray 30th Street,1.1,airport,1,38,10,1,1,0,13:29:00,0
8439,Gray 30th Street,1.1,airport,1,38,10,1,1,0,13:59:00,0
441,Gray 30th Street,0.8,airport,1,38,10,1,0,0,14:29:00,0
8443,Gray 30th Street,0.7,airport,1,38,10,1,0,0,14:59:00,0
445,Gray 30th Street,0.9,airport,1,38,10,1,0,0,15:29:00,2
8447,Gray 30th Street,0.3,airport,1,38,10,1,0,0,15:59:00,2
449,Gray 30th Street,0.6,airport,1,38,10,1,0,0,16:29:00,2
8451,Gray 30th Street,0.7,airport,1,38,10,1,0,0,16:59:00,2
453,Gray 30th Street,0.6,airport,1,38,10,1,0,0,17:29:00,2
8455,Gray 30th Street,4.6,airport,1,38,10,1,1,0,17:59:00,2
457,Gray 30th Street,0.6,airport,1,38,10,1,0,0,18:29:00,0
8459,Gray 30th Street,0.2,airport,1,38,10,1,0,0,18:59:00,0
461,Gray 30th Street,0.7,airport,1,38,10,1,0,0,19:29:00,0
8463,Gray 30th Street,1.2,airport,1,38,10,1,1,0,19:59:00,0
465,Gray 30th Street,0.6,airport,1,38,10,1,0,0,20:29:00,0
8467,Gray 30th Street,0.5,airport,1,38,10,1,0,0,20:59:00,0
469,Gray 30th Street,3.9,airport,1,38,10,1,1,0,21:29:00,0
8471,Gray 30th Street,0.9,airport,1,38,10,1,0,0,21:59:00,0
473,Gray 30th Street,0,airport,1,38,10,1,0,0,22:29:00,0
401,Penn Medicine Station,0.4,airport,1,38,10,0,0,0,04:32:00,0
403,Penn Medicine Station,0.2,airport,1,38,10,0,0,0,05:02:00,0
405,Penn Medicine Station,0.1,airport,1,38,10,0,0,0,05:32:00,0
402,Penn Medicine Station,0.1,airport,1,38,10,0,0,0,05:27:00,0
407,Penn Medicine Station,0.5,airport,1,38,10,0,0,0,06:02:00,0
409,Penn Medicine Station,2.9,airport,1,38,10,0,1,0,06:32:00,0
8411,Penn Medicine Station,0.3,airport,1,38,10,0,0,0,07:02:00,1
413,Penn Medicine Station,2.4,airport,1,38,10,0,1,0,07:32:00,1
8415,Penn Medicine Station,2.1,airport,1,38,10,0,1,0,08:02:00,1
417,Penn Medicine Station,1.5,airport,1,38,10,0,1,0,08:32:00,1
8419,Penn Medicine Station,3,airport,1,38,10,0,1,0,09:02:00,0
421,Penn Medicine Station,1.2,airport,1,38,10,0,1,0,09:32:00,0
8423,Penn Medicine Station,3.1,airport,1,38,10,0,1,0,10:02:00,0
425,Penn Medicine Station,1,airport,1,38,10,0,1,0,10:32:00,0
8427,Penn Medicine Station,0.9,airport,1,38,10,0,0,0,11:02:00,0
429,Penn Medicine Station,1.9,airport,1,38,10,0,1,0,11:32:00,0
8431,Penn Medicine Station,4.3,airport,1,38,10,0,1,0,12:02:00,0
433,Penn Medicine Station,2.3,airport,1,38,10,0,1,0,12:32:00,0
8435,Penn Medicine Station,0.5,airport,1,38,10,0,0,0,13:02:00,0
437,Penn Medicine Station,1.5,airport,1,38,10,0,1,0,13:32:00,0
8439,Penn Medicine Station,1.3,airport,1,38,10,0,1,0,14:02:00,0
441,Penn Medicine Station,1.4,airport,1,38,10,0,1,0,14:32:00,0
8443,Penn Medicine Station,0.5,airport,1,38,10,0,0,0,15:02:00,2
445,Penn Medicine Station,1.4,airport,1,38,10,0,1,0,15:32:00,2
8447,Penn Medicine Station,0.7,airport,1,38,10,0,0,0,16:02:00,2
449,Penn Medicine Station,1.4,airport,1,38,10,0,1,0,16:32:00,2
8451,Penn Medicine Station,2.1,airport,1,38,10,0,1,0,17:02:00,2
453,Penn Medicine Station,1.2,airport,1,38,10,0,1,0,17:32:00,2
8455,Penn Medicine Station,4.7,airport,1,38,10,0,1,0,18:02:00,0
457,Penn Medicine Station,1.4,airport,1,38,10,0,1,0,18:32:00,0
8459,Penn Medicine Station,0.3,airport,1,38,10,0,0,0,19:02:00,0
461,Penn Medicine Station,0.9,airport,1,38,10,0,0,0,19:32:00,0
8463,Penn Medicine Station,1.7,airport,1,38,10,0,1,0,20:02:00,0
465,Penn Medicine Station,1.1,airport,1,38,10,0,1,0,20:32:00,0
8467,Penn Medicine Station,0.5,airport,1,38,10,0,0,0,21:02:00,0
469,Penn Medicine Station,4.1,airport,1,38,10,0,1,0,21:32:00,0
8471,Penn Medicine Station,0.9,airport,1,38,10,0,0,0,22:02:00,0
473,Penn Medicine Station,0,airport,1,38,10,0,0,0,22:32:00,0
401,Eastwick,0.7,airport,1,38,10,0,0,0,04:40:00,0
403,Eastwick,0.6,airport,1,38,10,0,0,0,05:10:00,0
405,Eastwick,0.4,airport,1,38,10,0,0,0,05:40:00,0
402,Eastwick,0.4,airport,1,38,10,0,0,0,05:15:00,0
407,Eastwick,1,airport,1,38,10,0,1,0,06:10:00,0
409,Eastwick,4.1,airport,1,38,10,0,1,0,06:40:00,0
8411,Eastwick,0.7,airport,1,38,10,0,0,0,07:10:00,1
413,Eastwick,4,airport,1,38,10,0,1,0,07:40:00,1
8415,Eastwick,3.9,airport,1,38,10,0,1,0,08:10:00,1
417,Eastwick,3.1,airport,1,38,10,0,1,0,08:40:00,1
8419,Eastwick,4.8,airport,1,38,10,0,1,0,09:10:00,0
421,Eastwick,2.1,airport,1,38,10,0,1,0,09:40:00,0
8423,Eastwick,3.6,airport,1,38,10,0,1,0,10:10:00,0
425,Eastwick,1.2,airport,1,38,10,0,1,0,10:40:00,0
8427,Eastwick,1.3,airport,1,38,10,0,1,0,11:10:00,0
429,Eastwick,3.7,airport,1,38,10,0,1,0,11:40:00,0
8431,Eastwick,5.6,airport,1,38,10,0,1,1,12:10:00,0
433,Eastwick,3,airport,1,38,10,0,1,0,12:40:00,0
8435,Eastwick,1.1,airport,1,38,10,0,1,0,13:10:00,0
437,Eastwick,2.4,airport,1,38,10,0,1,0,13:40:00,0
8439,Eastwick,3.1,airport,1,38,10,0,1,0,14:10:00,0
441,Eastwick,2.4,airport,1,38,10,0,1,0,14:40:00,0
8443,Eastwick,0.5,airport,1,38,10,0,0,0,15:10:00,2
445,Eastwick,1.9,airport,1,38,10,0,1,0,15:40:00,2
8447,Eastwick,1.5,airport,1,38,10,0,1,0,16:10:00,2
449,Eastwick,1.6,airport,1,38,10,0,1,0,16:40:00,2
